capacity,net_size,arrival_d0,arrival_d1,service_s,service_p,arrival_mean,arrival_rate,arrival_cv,arrival_skew,arrival_lag1,arrival_order,service_mean,service_rate,service_cv,service_skew,service_order,busy
5,9,[[-1.41057831]],[[1.41057831]],"[[-1.18469479  0.        ]
 [ 0.         -2.7456792 ]]",[0.43475389 0.56524611],0.7089290923317657,1.41057830863008,1.0,2.0,-2.220446049250314e-16,1,0.5728429373429632,1.7456791989761344,1.1597089601905257,2.681676721426253,2,0.808039821667924
4,3,"[[-0.23119026  0.        ]
 [ 0.         -1.88787406]]","[[2.31190258e-01 2.77466323e-16]
 [4.25595022e-16 1.88787406e+00]]","[[-0.26375268  0.        ]
 [ 0.         -1.7830645 ]]",[0.22169323 0.77830677],1.3542537179680652,0.7384140702234211,1.9161572120128927,4.368504954254786,0.3638217564921519,2,1.277034004194486,0.7830645047159643,1.7912241707098489,4.276967437853251,2,0.942979876850964
0,3,"[[-2.3250107   2.32500966]
 [ 0.         -2.32501174]]","[[1.03862462e-06 0.00000000e+00]
 [2.32501174e+00 1.56983799e-14]]","[[-0.51776144  0.        ]
 [ 0.         -1.93655376]]",[0.38965312 0.61034688],0.8602107100581518,1.1625058701401174,0.707106939125271,1.4142135623734107,-4.440890114674104e-16,2,1.0677443634561368,0.936553761579356,1.354751590168306,3.1149115790282162,2,1.2412590903267822
2,2,"[[-0.4778367   0.        ]
 [ 0.         -2.01781366]]","[[4.77836698e-01 9.29234542e-14]
 [1.72247287e-13 2.01781366e+00]]","[[-0.40610081  0.        ]
 [ 0.         -2.41193071]]",[0.14339248 0.85660752],0.9828625527374203,1.0174362602531242,1.4559218035561141,3.5144978990514186,0.2641184872204412,2,0.7082500529239704,1.4119307098835452,1.7475094203305488,5.0648431586381655,2,0.7205992851710418
4,9,"[[-3.0490745   3.04906311  0.        ]
 [ 0.         -3.04906311  3.04906311]
 [ 0.          0.         -3.04911264]]","[[2.76670803e-17 1.13814945e-05 3.03683641e-17]
 [8.90481454e-17 1.51437666e-18 0.00000000e+00]
 [3.04911264e+00 2.40934801e-17 9.18729738e-19]]","[[-0.21939385  0.        ]
 [ 0.         -1.73952346]]",[0.19516048 0.80483952],0.9838985664529956,1.0163649324188477,0.5773531426768,1.154696228393797,2.4884691338618163e-06,3,1.3522221454650651,0.7395234602196767,1.9302215119369277,4.594288826509323,2,1.3743511694908703
5,6,"[[-0.34219138  0.        ]
 [ 0.         -1.99734183]]","[[0.15597481 0.18621656]
 [0.28382726 1.71351458]]","[[-1.63032163  0.        ]
 [ 0.         -3.30227543]]",[0.42353737 0.57646263],1.002094497502693,0.997909880247908,1.7081257433617396,4.344421536754484,0.10309478997480867,2,0.4343528965179624,2.3022754263102874,1.1178649206317006,2.562524150254717,2,0.4334450469495718
1,6,"[[-0.6667739   0.        ]
 [ 0.         -1.70498198]]","[[6.66773897e-01 2.32073741e-17]
 [5.06001308e-16 1.70498198e+00]]","[[-5.73348859  5.73348859  0.          0.        ]
 [ 0.         -5.73348859  5.73348859  0.        ]
 [ 0.          0.         -5.73348859  5.73348859]
 [ 0.          0.          0.         -5.73348859]]",[1. 0. 0. 0.],1.413354289295567,0.7075366789302434,1.0351470373709404,2.0886918323162544,0.03337724084547436,2,0.6976555264113489,1.433372147345944,0.5000000000000001,0.9999999999999956,4,0.4936168741944165
5,6,"[[-0.36722432  0.        ]
 [ 0.         -1.99049789]]","[[0.30276754 0.06445678]
 [0.10344456 1.88705333]]","[[-0.22244165  0.        ]
 [ 0.         -1.81559744]]",[0.17119143 0.82880857],1.0096994074499455,0.990393767314926,1.6447646054243945,4.122358949444727,0.24347416591169696,2,1.2260950744957324,0.8155974367740441,1.9842882859234905,4.898173717643116,2,1.2143169199161032
1,4,"[[-0.64098778  0.        ]
 [ 0.         -1.99759223]]","[[0.40575777 0.23523   ]
 [0.6598846  1.33770763]]","[[-0.51984751  0.        ]
 [ 0.         -2.169327  ]]",[0.26952128 0.73047872],1.0025121354714268,0.9974941595392803,1.2477611192975209,2.797326641032086,0.05413441730880414,2,0.855192769829768,1.1693270047162079,1.4669172062394211,3.6860774549605813,2,0.8530497931854136
5,10,"[[-3.049971    3.04996106  0.        ]
 [ 0.         -3.04998308  3.04996106]
 [ 0.          0.         -3.0500039 ]]","[[2.26527393e-18 9.94922585e-06 4.76361700e-18]
 [2.20283333e-05 9.17014902e-19 0.00000000e+00]
 [3.05000390e+00 0.00000000e+00 2.42902308e-17]]","[[-0.13805711  0.        ]
 [ 0.         -1.72523847]]",[0.1199365 0.8800635],0.9836054965697196,1.0166677631300918,0.5773541702743386,1.1546967719419376,2.1746756898861527e-06,3,1.3788568009144306,0.7252384724337,2.4352696774289035,5.949189115789068,2,1.4018392594623885
