,Model,R,STD,MSE,Portion,NumSamples
64,linear_regresson,0.7282040463669115,77.80503236242241,6036.8074413039385,0.85,81811.0
65,decision_tree,0.9812603558132161,10.25981659458529,104.97143700854285,0.85,81811.0
66,gradient_boosting,0.9746545846168005,11.693491409292822,136.35791427992942,0.85,81811.0
67,neural_network,0.996064204481023,8.975334099476088,80.33285380222601,0.85,81811.0
68,linear_regresson,0.7283669317390242,77.72468642638755,6024.34597208005,0.9,86623.0
69,decision_tree,0.9744405944395619,12.013655244626305,143.92700146913512,0.9,86623.0
70,gradient_boosting,0.9762254831617447,11.907546141501884,141.39579495890752,0.9,86623.0
71,neural_network,0.9966445531239303,5.588460919246609,31.144142958596778,0.9,86623.0
72,linear_regresson,0.7281752750575147,77.74499867935727,6027.495139598671,0.93,89511.0
73,decision_tree,0.9754924704560681,12.001669576307053,143.63996130602413,0.93,89511.0
74,gradient_boosting,0.9738475686267027,11.964893626527092,142.7610164955138,0.93,89511.0
75,neural_network,0.9959698363375739,6.149848522988781,37.71557953110812,0.93,89511.0
76,linear_regresson,0.7279075638878906,77.86823822602568,6046.619572968353,0.96,92398.0
77,decision_tree,0.9701677384682181,13.347716416116276,177.66664037637932,0.96,92398.0
78,gradient_boosting,0.9663441340615935,13.998496928904215,195.41358872335024,0.96,92398.0
79,neural_network,0.9971703649011975,6.09599677852408,37.05795123287658,0.96,92398.0
80,linear_regresson,0.7280820676437573,77.78274917741577,6033.35008051456,1.0,96248.0
81,decision_tree,0.9698495271586812,13.714065905961462,187.55317144062968,1.0,96248.0
82,gradient_boosting,0.9698340764888124,13.890636178475175,192.41380184986667,1.0,96248.0
83,neural_network,0.9952827685627704,10.80485101354153,116.4205142986493,1.0,96248.0
