,Model,Precision,Recall,F1,Portion,NumSamples
41,decision_tree,0.984189723320158,0.9054545454545457,0.9431818181818182,0.4,38499.0
42,neural_network,0.970414201183432,0.5963636363636362,0.7387387387387389,0.4,38499.0
43,cat_boost,0.9924242424242423,0.952727272727273,0.9721706864564009,0.4,38499.0
44,logistic_regression,0.9914163090128754,0.84,0.9094488188976375,0.5,48124.0
45,decision_tree,0.9740740740740743,0.9563636363636366,0.9651376146788989,0.5,48124.0
46,neural_network,0.9404255319148936,0.8036363636363633,0.8666666666666669,0.5,48124.0
47,cat_boost,0.9921568627450982,0.9200000000000002,0.9547169811320759,0.5,48124.0
48,logistic_regression,0.9914529914529915,0.8436363636363636,0.9115913555992138,0.6,57749.0
49,decision_tree,0.980544747081712,0.9163636363636362,0.9473684210526316,0.6,57749.0
50,neural_network,0.9213973799126638,0.7672727272727273,0.8373015873015871,0.6,57749.0
51,cat_boost,0.9819494584837544,0.9890909090909088,0.985507246376812,0.6,57749.0
52,logistic_regression,0.9872340425531917,0.8436363636363636,0.9098039215686277,0.7,67374.0
53,decision_tree,0.9824561403508768,0.8145454545454545,0.8906560636182905,0.7,67374.0
54,neural_network,0.7746478873239439,1.0,0.8730158730158734,0.7,67374.0
55,cat_boost,0.9962686567164183,0.9709090909090907,0.9834254143646409,0.7,67374.0
56,logistic_regression,0.8432835820895526,0.8218181818181821,0.8324125230202578,0.75,72186.0
57,decision_tree,0.9911504424778759,0.8145454545454545,0.8942115768463076,0.75,72186.0
58,neural_network,0.8503184713375797,0.9709090909090907,0.906621392190153,0.75,72186.0
59,cat_boost,0.9845559845559851,0.9272727272727276,0.9550561797752812,0.75,72186.0
60,logistic_regression,0.9914163090128754,0.84,0.9094488188976375,0.8,76998.0
61,decision_tree,0.983402489626556,0.8618181818181814,0.918604651162791,0.8,76998.0
62,neural_network,0.7762039660056657,0.9963636363636362,0.8726114649681533,0.8,76998.0
63,cat_boost,1.0,0.9418181818181816,0.9700374531835205,0.8,76998.0
64,logistic_regression,0.8452830188679246,0.8145454545454545,0.8296296296296296,0.85,81811.0
65,decision_tree,0.9914163090128754,0.84,0.9094488188976375,0.85,81811.0
66,neural_network,0.8909090909090908,0.8909090909090908,0.8909090909090908,0.85,81811.0
67,cat_boost,0.9961977186311786,0.952727272727273,0.9739776951672866,0.85,81811.0
68,logistic_regression,0.8458646616541352,0.8181818181818182,0.831792975970425,0.9,86623.0
69,decision_tree,0.9766536964980543,0.9127272727272725,0.943609022556391,0.9,86623.0
70,neural_network,0.8215384615384612,0.9709090909090907,0.8900000000000002,0.9,86623.0
71,cat_boost,0.9923954372623578,0.9490909090909091,0.9702602230483275,0.9,86623.0
72,logistic_regression,0.8972602739726026,0.4763636363636365,0.6223277909738716,0.93,89511.0
73,decision_tree,0.9877551020408165,0.8800000000000002,0.9307692307692308,0.93,89511.0
74,neural_network,0.88671875,0.8254545454545457,0.8549905838041435,0.93,89511.0
75,cat_boost,0.9961832061068703,0.9490909090909091,0.9720670391061451,0.93,89511.0
76,logistic_regression,0.8452830188679246,0.8145454545454545,0.8296296296296296,0.96,92398.0
77,decision_tree,0.9730769230769226,0.9200000000000002,0.9457943925233644,0.96,92398.0
78,neural_network,0.9192982456140352,0.952727272727273,0.9357142857142855,0.96,92398.0
79,cat_boost,0.9961538461538457,0.9418181818181816,0.9682242990654205,0.96,92398.0
80,logistic_regression,0.9914163090128754,0.84,0.9094488188976375,1.0,96248.0
81,decision_tree,0.9919678714859438,0.8981818181818182,0.9427480916030536,1.0,96248.0
82,neural_network,0.8478260869565216,0.9927272727272723,0.9145728643216079,1.0,96248.0
83,cat_boost,0.9923664122137407,0.9454545454545455,0.9683426443202982,1.0,96248.0
