Id,ArrM1,ArrAvg,SrvM1,SrvM2,SrvM3,SrvAvg,SrvStd,SrvCv,SrvSkewness,Rho,NetSize,Capacity,NumPackets,DelayAvg,DelayStd,DeliveryProb
10,0.0184505133741906,0.0184505133741906,0.0002077934318486,1.2096234442927483e-06,1.1561146515528465e-07,0.0002077934318486,0.0010800209877466,5.197570385831363,91.18644348748782,0.0110767811919142,1.0,20.0,100000.0,0.0002293107210442,0.0014420730013708,1.0
11,0.0230978165115755,0.0230978165115755,0.0002716573272566,4.53245473655608e-06,2.231563828240609e-07,0.0002716573272566,0.0021115532276274,7.77285578471509,23.31490639941128,0.1361395173478628,14.0,20.0,100000.0,0.052557635799512,0.1316852575647469,0.715561224489796
12,0.0288975817133703,0.0288975817133703,0.0003622195405749,7.133700897948393e-06,1.5307429318506256e-06,0.0003622195405749,0.0026462233281365,7.30557861107204,82.19491840767641,0.0641105565399029,5.0,20.0,100000.0,0.0082484334868855,0.0771242852422499,0.9837748510190796
13,0.0444912470981466,0.0444912470981466,0.0004844823799109,1.0944547954678238e-05,1.4941755157528258e-06,0.0004844823799109,0.0032725868633596,6.7548109055297685,42.18387755288315,0.0446703982339953,4.0,20.0,100000.0,0.005895044121756,0.0358030939117576,0.9966628262683248
14,0.0429175417511564,0.0429175417511564,0.0003895041617769,5.005189158049886e-06,1.4614436015086371e-06,0.0003895041617769,0.0022030605225477,5.65606414190063,136.14337852190252,0.1228340664108072,14.0,20.0,100000.0,0.0192480802558567,0.161717051427793,0.9549347185174786
15,0.0108033745970493,0.0108033745970493,0.0004728883885991,7.158493292662664e-06,9.855819440786109e-07,0.0004728883885991,0.0026334141080716,5.568785725259021,53.423360795670455,0.0868824918504416,2.0,20.0,100000.0,0.0024155819213747,0.0157895343697108,0.9969564695046254
16,0.030612077652229,0.030612077652229,0.0003949721103843,9.812442123409611e-06,4.193595299899779e-06,0.0003949721103843,0.0031074811593038,7.86759641403505,139.3695922494121,0.012670752195215,1.0,20.0,100000.0,0.0004818120625574,0.0045926172804785,1.0
17,0.0334544500511389,0.0334544500511389,0.0004528375504487,4.473620894240313e-06,5.526125772483243e-07,0.0004528375504487,0.0020660491395762,4.562451010365656,61.9931461785517,0.1409383642827877,11.0,20.0,100000.0,0.0126244600602604,0.0604575353112762,0.9618403837767118
18,0.0485535500912078,0.0485535500912078,0.0002315766591363,1.3912386278310227e-06,9.193699216442657e-08,0.0002315766591363,0.0011565512867029,4.994248086210743,58.81989545321991,0.0681890504712668,15.0,20.0,100000.0,0.0092346948045662,0.0512528940181152,0.9778980604420388
19,0.0298646515426287,0.0298646515426287,0.0003874943123293,4.857763895418863e-06,1.4656394888589603e-06,0.0003874943123293,0.0021697032177999,5.599316296430272,142.95001834138483,0.0509731628105981,4.0,20.0,100000.0,0.0022177828767724,0.0163755547992339,0.9986759218392648
