,net_size,num_packets,elapsed,delay_error,delivery_prob_error,last_system_size_error
634,6,10000,0.03281756100477651,0.005845442554930812,0.0016904696520394819,0.03477773731912066
635,6,10000,0.033056431013392285,0.017634710352861602,0.0004818610475505052,0.05098386309958329
636,6,10000,0.03324052199604921,0.012616899960064347,0.001907129023582498,0.001202784049787392
637,6,10000,0.03351463199942373,0.021196582019041316,0.0007721574607035064,0.06218909166212673
638,6,10000,0.03271906200097874,0.0011160327714103747,0.007799215136132654,0.0012734943734658576
639,6,10000,0.03293793898774311,0.01093579732167756,0.0030636872105508223,0.016588341065307387
640,6,10000,0.0329474660102278,0.010524800603040022,0.0012866745481387813,0.010902201541083985
641,6,10000,0.03311413200572133,0.003745892562457487,0.0027311615076192307,0.024492571555557088
642,6,10000,0.03269857200211845,0.01910901894908818,0.0034701562754306707,0.019596748089617557
643,6,10000,0.03279584299889393,0.004070666178829495,0.0022176346650798896,0.0179933990794695
644,6,10000,0.033105565002188087,0.020543666694757892,0.0019263804183769072,0.0028973332770995414
645,6,10000,0.0330695970042143,0.008181725049301935,0.00027504309177845836,0.014672141313172533
646,6,10000,0.032771519996458665,0.0016486630076972561,0.0033480049450973094,0.010471876874715177
647,6,10000,0.03319189298781566,0.00970692577257229,0.0006853485681476326,0.04729103274039578
648,6,10000,0.032787880016257986,0.009323849299773028,0.0029605736269012455,0.01565448077748539
649,6,10000,0.032935690018348396,0.01036371975463393,0.0010903217405261547,0.005199935033215492
650,6,10000,0.03258372499840334,0.0134462886686757,0.010942553278067776,0.04717859072629715
651,6,10000,0.03320526098832488,0.010607516583252834,0.00015566554475203074,0.01345628710890812
652,6,10000,0.03291005498613231,0.0004994122735762168,0.0027311615076192307,0.011850958584236732
653,6,25000,0.07894016400678083,0.0028711316120386054,0.002174811633811442,0.0020702463116004243
654,6,25000,0.07867524097673595,0.0025522591870324523,0.0006426468240811451,0.00937689786139772
655,6,25000,0.0788686849991791,0.0005497917575435335,0.0011003415558312943,0.008348706922552627
656,6,25000,0.07878434599842876,0.00904627558634844,0.0012161585527231443,0.010344615823613507
657,6,25000,0.07904549298109487,0.011850957345538019,0.0008936024987636492,0.015838406847989244
658,6,25000,0.07860405300743878,8.398687667291329e-05,0.0008024978190527253,0.02305029811005887
659,6,25000,0.07883993201539852,0.0035562917005123973,0.0011860494546601257,0.0006638066310302647
660,6,25000,0.07970016499166377,0.00968347566380428,0.005819454490412718,0.00224114291549481
661,6,25000,0.07904654499725439,0.006790859665829177,0.000194313733771403,0.011356201301222012
662,6,25000,0.07911008701194078,0.008067938615178153,0.001842383171080277,0.030621838287098586
663,6,25000,0.07930584100540727,0.012565209168981581,0.005274869034451935,0.03825348729142619
664,6,25000,0.07928012698539533,0.002953190003834516,0.001715668517856406,0.0064781604020954595
665,6,25000,0.07914588402491063,0.012765856543591882,0.0018462166882958159,0.036269470771348955
666,6,25000,0.07889252199674957,0.0184271599316986,0.0019992346376459568,0.022522358552408073
667,6,25000,0.0798175310192164,0.0030729178355807124,0.0018024424877611626,0.009088300561995786
668,6,25000,0.07932920401799493,0.000144850615813665,2.6182273172524394e-05,0.006104995934384424
669,6,25000,0.07902849500533193,0.002181918611420743,2.3464914692088247e-05,0.0241167051310462
670,6,25000,0.0788687779859174,0.0034535047829055148,0.0012946562988113374,0.007534428408438152
671,6,25000,0.07871848999639042,0.007637680667950592,0.003744017399125985,0.014707887951152408
672,6,25000,0.07871926299412735,0.0020745810782088893,0.0027481728841530968,0.0026745480947567932
673,6,50000,0.15252889398834668,0.003638085839155618,0.00037159039454175326,0.025378630273460646
674,6,50000,0.15336716000456363,0.00015814675813595998,0.0017395805760433282,0.019510981580953466
675,6,50000,0.15247759700287133,0.0026266061494738097,0.0004081441213455534,0.0012648850517091152
676,6,50000,0.15279421798186377,0.006921502921058082,0.00038608684880594594,0.025651803233839497
