,sta_where_packets_arrive,simulation_type,num_generated_packets,mode,num_stations,queue_capacity,mean_arrival_time,std_arrival_time,bitrate,mean_packet_size,std_mean_packet_size,delivery_prob,e2e_delay,e2e_delay_std,mean_service_time,rho
70,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,6,10,43.302,42.17,57.516,2200.549,2159.341,0.03991786943656017,2545.8336710709254,445.22391693575986,36.84026480866009,0.8507751329883166
71,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,8,6,53.213,45.529,57.263,2341.623,2181.548,0.011981416578368265,2258.113244891134,440.5468660414304,35.49265389366159,0.6669921615706987
72,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,12,10,51.84,57.611,51.607,2201.822,2314.777,0.00361794500723589,6661.376288486814,714.1967449578897,42.665181080086036,0.8230166103411658
73,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,9,7,47.354,44.758,58.216,2025.031,2383.281,0.009354282081554754,3046.838322891869,549.2818016966,34.784784251752086,0.7345690807904736
74,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,10,5,54.526,42.956,52.406,2215.81,2095.178,0.019236489836390702,2515.3153918323987,483.41284302415335,37.80317875687725,0.6933055561911244
75,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,13,7,46.737,56.896,56.643,2187.2,2079.498,0.005000657981313328,4435.62254331463,629.7161385427237,34.90456820510256,0.7468294542889479
76,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,7,8,56.644,45.462,53.39,2157.243,2291.989,0.06574805903336367,2647.7901047997107,491.9283375899801,40.405375538490354,0.7133213674615203
77,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,5,6,48.22,57.609,60.133,2384.947,2187.791,0.1361537689450969,1095.8644772118678,280.5590814338103,33.374906637901816,0.6921382546226009
78,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,2,9,41.504,44.411,60.904,2082.417,2256.471,0.538236173393124,472.45365530564,211.7760449277538,34.1917936424537,0.8238192377229594
79,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,9,9,54.85,53.272,53.347,2372.044,2101.871,0.021265043887431,3471.542220235099,487.54296110764955,34.91237341297716,0.6365063521053265
80,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,16,6,45.317,50.219,56.166,2221.147,2169.371,0.0014287982219399753,5368.18678224689,679.9086840079373,37.7239241418129,0.8324453106298497
81,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,17,10,42.704,40.91,53.747,2216.058,2378.372,0.0,0.0,0.0,41.2312873276648,0.9655134724537467
82,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,3,8,41.884,59.631,58.363,2166.815,2250.893,0.2779972854773036,861.7836967384819,272.25074618200836,37.126518513441745,0.8864129145602556
83,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,2,7,48.273,57.948,59.154,2350.322,2245.194,0.6112470426465533,372.66456210150255,181.7033563422916,36.25736704732844,0.75108998917259
84,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,12,10,40.137,53.597,50.436,2227.125,2050.096,0.002211845662324907,5592.939753727787,556.291691144883,37.4165006058524,0.9322196628012158
85,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,3,8,54.786,49.201,51.615,2174.902,2145.841,0.2283656743401229,972.0252594801361,285.53915572572515,41.0184696801418,0.748703495056069
86,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,14,10,53.502,59.419,58.403,2082.502,2162.435,0.0037098103874690924,6716.3590412254325,721.8123221483055,35.65744910364194,0.6664694610228017
87,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,13,9,55.771,46.999,50.151,2117.981,2214.82,0.0006590220113351641,7175.423710975362,1115.725219754014,42.23207912105442,0.7572408441852292
88,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,12,10,54.091,52.676,58.814,2034.422,2063.723,0.007112375533428139,5462.238909153836,679.8197287000189,34.59077770598837,0.6394922945774412
89,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,3,5,56.446,45.084,60.081,2069.172,2195.248,0.5602406015037593,383.02883060488847,188.7338677488891,34.439706396364905,0.6101354639188765
90,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,4,7,41.221,40.299,60.707,2304.053,2176.187,0.13718875502008032,1031.4903374818239,269.9516958158927,33.857991117687426,0.8213772377595747
91,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,2,7,40.956,44.191,59.507,2285.318,2207.572,0.5083335012797516,409.38092699125764,179.7749737998169,35.83563112382595,0.8749787851310173
92,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,9,10,59.626,58.21,60.41,2271.249,2316.766,0.02302752293577981,4143.201271395523,619.8113950251756,37.59723555702698,0.6305510273542914
93,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,2,5,53.392,40.719,57.553,2011.252,2385.893,0.7519985574322294,222.1352055033969,152.16731335525097,34.94608447865446,0.6545191129505256
94,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,18,8,46.624,48.807,59.761,2127.25,2352.34,0.00018125793003442858,7155.31686088421,0.0,35.59595722963137,0.7634685404433632
95,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,11,5,44.479,48.903,58.151,2371.551,2089.24,0.009237875288683584,2494.3032357688585,441.90204640220344,31.650968826160103,0.7115935346154388
96,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,10,9,47.495,43.264,58.502,2252.194,2215.51,0.0030931949710636397,4085.6329957945095,722.4128722933661,37.25382915616814,0.7843737057830958
97,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,17,10,46.922,48.472,54.499,2143.304,2089.604,0.000664672648720499,8232.84067029426,184.25693838130383,37.38140959339829,0.7966712755935018
98,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,10,8,52.339,53.075,56.49,2079.615,2341.289,0.010931133856702746,3809.7429137831205,559.0846593290862,36.81386086032926,0.7033734091275962
99,-1.0,FIXED_PACKET_SIZE,100000,UPLOAD,7,10,56.057,57.205,53.757,2085.361,2365.758,0.04244852062688875,3252.1246342203563,540.9418493527138,38.79236192495862,0.6920163748498603
